Gene,Antibody id,Cell line,Location,Label,Gene name,Reliability,Main location,Additional location,Extracellular location,Enhanced,Supported,Approved,Uncertain,Single-cell variation intensity,Single-cell variation spatial,Cell cycle dependency,GO id,ID,Url,Single-cell variation
ENSG00000003147,HPA061452,U-2 OS,vesicles,17,ICA1,Supported,Cytosol;Vesicles,,,,Cytosol;Vesicles,,,Vesicles,,,cytosol;vesicles,1102_E2_5,1102_E2_5;1102_E2_6,True
ENSG00000003147,HPA061452,U-2 OS,vesicles,17,ICA1,Supported,Cytosol;Vesicles,,,,Cytosol;Vesicles,,,Vesicles,,,cytosol;vesicles,1102_E2_6,1102_E2_5;1102_E2_6,True
ENSG00000003249,HPA043018,U-2 OS,nuclear speckles,4,DBNDD1,Approved,Nuclear speckles,Cytosol,,,,Cytosol;Nuclear speckles,,Nuclear speckles,,,cytosol;nuclear speckles,470_F9_1,470_F9_1;470_F9_2,True
ENSG00000003249,HPA043018,U-2 OS,nuclear speckles,4,DBNDD1,Approved,Nuclear speckles,Cytosol,,,,Cytosol;Nuclear speckles,,Nuclear speckles,,,cytosol;nuclear speckles,470_F9_2,470_F9_1;470_F9_2,True
ENSG00000003249,HPA043018,A-431,nuclear speckles;cytosol,4;16,DBNDD1,Approved,Nuclear speckles,Cytosol,,,,Cytosol;Nuclear speckles,,Nuclear speckles,,,cytosol;nuclear speckles,473_F9_1,473_F9_1;473_F9_4,True
ENSG00000003249,HPA043018,A-431,nuclear speckles;cytosol,4;16,DBNDD1,Approved,Nuclear speckles,Cytosol,,,,Cytosol;Nuclear speckles,,Nuclear speckles,,,cytosol;nuclear speckles,473_F9_4,473_F9_1;473_F9_4,True
ENSG00000003249,HPA043018,U-251 MG,nuclear speckles,4,DBNDD1,Approved,Nuclear speckles,Cytosol,,,,Cytosol;Nuclear speckles,,Nuclear speckles,,,cytosol;nuclear speckles,468_F9_1,468_F9_1;468_F9_2,True
ENSG00000003249,HPA043018,U-251 MG,nuclear speckles,4,DBNDD1,Approved,Nuclear speckles,Cytosol,,,,Cytosol;Nuclear speckles,,Nuclear speckles,,,cytosol;nuclear speckles,468_F9_2,468_F9_1;468_F9_2,True
ENSG00000004468,HPA022132,A549,plasma membrane,13,CD38,Supported,Plasma membrane,,,,Plasma membrane,,,Plasma membrane,,,plasma membrane,1126_F5_1,1126_F5_1;1126_F5_3,True
ENSG00000004468,HPA022132,A549,plasma membrane,13,CD38,Supported,Plasma membrane,,,,Plasma membrane,,,Plasma membrane,,,plasma membrane,1126_F5_3,1126_F5_1;1126_F5_3,True
ENSG00000004660,HPA028062,U-2 OS,cytosol,16,CAMKK1,Supported,Cytosol,,,,Cytosol,,,Cytosol,,,cytosol,260_E12_1,260_E12_1;260_E12_2,True
ENSG00000004660,HPA028062,U-2 OS,cytosol,16,CAMKK1,Supported,Cytosol,,,,Cytosol,,,Cytosol,,,cytosol,260_E12_2,260_E12_1;260_E12_2,True
ENSG00000004660,HPA028062,A-431,cytosol,16,CAMKK1,Supported,Cytosol,,,,Cytosol,,,Cytosol,,,cytosol,259_E12_1,259_E12_1;259_E12_2,True
ENSG00000004660,HPA028062,A-431,cytosol,16,CAMKK1,Supported,Cytosol,,,,Cytosol,,,Cytosol,,,cytosol,259_E12_2,259_E12_1;259_E12_2,True
ENSG00000004660,HPA028062,U-251 MG,cytosol,16,CAMKK1,Supported,Cytosol,,,,Cytosol,,,Cytosol,,,cytosol,258_E12_1,258_E12_1;258_E12_2,True
ENSG00000004660,HPA028062,U-251 MG,cytosol,16,CAMKK1,Supported,Cytosol,,,,Cytosol,,,Cytosol,,,cytosol,258_E12_2,258_E12_1;258_E12_2,True
ENSG00000004779,HPA054364,U-2 OS,mitochondria,14,NDUFAB1,Supported,Mitochondria,Nucleoplasm,,,Mitochondria,Nucleoplasm,,Mitochondria,,,mitochondria;nucleoplasm,1671_E5_3,1671_E5_3;1671_E5_4,True
ENSG00000004779,HPA054364,U-2 OS,mitochondria,14,NDUFAB1,Supported,Mitochondria,Nucleoplasm,,,Mitochondria,Nucleoplasm,,Mitochondria,,,mitochondria;nucleoplasm,1671_E5_4,1671_E5_3;1671_E5_4,True
ENSG00000004779,HPA054364,A-431,mitochondria,14,NDUFAB1,Supported,Mitochondria,Nucleoplasm,,,Mitochondria,Nucleoplasm,,Mitochondria,,,mitochondria;nucleoplasm,885_B1_1,885_B1_1;885_B1_2,True
ENSG00000004779,HPA054364,A-431,mitochondria,14,NDUFAB1,Supported,Mitochondria,Nucleoplasm,,,Mitochondria,Nucleoplasm,,Mitochondria,,,mitochondria;nucleoplasm,885_B1_2,885_B1_1;885_B1_2,True
ENSG00000004866,HPA038325,A-431,nucleoplasm,0,ST7,Supported,Nucleoplasm,Cytosol,,,Nucleoplasm,Cytosol,,Nucleoplasm,,,cytosol;nucleoplasm,591_C4_1,591_C4_1;591_C4_2,True
ENSG00000004866,HPA038325,A-431,nucleoplasm,0,ST7,Supported,Nucleoplasm,Cytosol,,,Nucleoplasm,Cytosol,,Nucleoplasm,,,cytosol;nucleoplasm,591_C4_2,591_C4_1;591_C4_2,True
ENSG00000004961,HPA002946,A-431,mitochondria,14,HCCS,Enhanced,Mitochondria,,,Mitochondria,,,,Mitochondria,,,mitochondria,24_C9_1,24_C9_1;24_C9_2,True
ENSG00000004961,HPA002946,A-431,mitochondria,14,HCCS,Enhanced,Mitochondria,,,Mitochondria,,,,Mitochondria,,,mitochondria,24_C9_2,24_C9_1;24_C9_2,True
ENSG00000005073,HPA006770,HEK 293,nucleoplasm,0,HOXA11,Supported,Nucleoplasm,,,,Nucleoplasm,,,Nucleoplasm,,,nucleoplasm,1639_C9_1,1639_C9_1;1639_C9_3,True
ENSG00000005073,HPA006770,HEK 293,nucleoplasm,0,HOXA11,Supported,Nucleoplasm,,,,Nucleoplasm,,,Nucleoplasm,,,nucleoplasm,1639_C9_3,1639_C9_1;1639_C9_3,True
ENSG00000005194,HPA041350,A-431,nucleoplasm;mitochondria,0;14,CIAPIN1,Supported,Mitochondria,,,,Mitochondria,,,Mitochondria,,,mitochondria,539_C4_2,539_C4_2;539_C4_3,True
ENSG00000005194,HPA041350,A-431,nucleoplasm;mitochondria,0;14,CIAPIN1,Supported,Mitochondria,,,,Mitochondria,,,Mitochondria,,,mitochondria,539_C4_3,539_C4_2;539_C4_3,True
ENSG00000005381,HPA061464,SiHa,nucleoplasm;vesicles,0;17,MPO,Supported,Vesicles,Nucleoplasm,,,Vesicles,Nucleoplasm,,Nucleoplasm,,,nucleoplasm;vesicles,1487_B11_3,1487_B11_3;1487_B11_4,True
ENSG00000005381,HPA061464,SiHa,nucleoplasm;vesicles,0;17,MPO,Supported,Vesicles,Nucleoplasm,,,Vesicles,Nucleoplasm,,Nucleoplasm,,,nucleoplasm;vesicles,1487_B11_4,1487_B11_3;1487_B11_4,True
ENSG00000005483,HPA042866,RH-30,nucleoplasm;nuclear bodies,0;5,KMT2E,Supported,Nucleoplasm,Nuclear bodies,,,Nucleoplasm,Nuclear bodies,,Nuclear bodies,,,nucleoplasm,1610_F9_1,1610_F9_1;1610_F9_2,True
ENSG00000005483,HPA042866,RH-30,nucleoplasm;nuclear bodies,0;5,KMT2E,Supported,Nucleoplasm,Nuclear bodies,,,Nucleoplasm,Nuclear bodies,,Nuclear bodies,,,nucleoplasm,1610_F9_2,1610_F9_1;1610_F9_2,True
ENSG00000005513,HPA041640,RH-30,nucleoplasm;cytosol,0;16,SOX8,Enhanced,Nucleoplasm,,,Nucleoplasm,,,,Nucleoplasm,,,nucleoplasm,1162_D5_1,1162_D5_1;1162_D5_2,True
ENSG00000005513,HPA041640,RH-30,nucleoplasm;cytosol,0;16,SOX8,Enhanced,Nucleoplasm,,,Nucleoplasm,,,,Nucleoplasm,,,nucleoplasm,1162_D5_2,1162_D5_1;1162_D5_2,True
ENSG00000005513,HPA058665,RH-30,nucleoplasm,0,SOX8,Enhanced,Nucleoplasm,,,Nucleoplasm,,,,Nucleoplasm,,,nucleoplasm,1176_H11_7,1176_H11_7;1176_H11_8,True
ENSG00000005513,HPA058665,RH-30,nucleoplasm,0,SOX8,Enhanced,Nucleoplasm,,,Nucleoplasm,,,,Nucleoplasm,,,nucleoplasm,1176_H11_8,1176_H11_7;1176_H11_8,True
ENSG00000005882,HPA008287,U-251 MG,nucleoplasm;cytosol,0;16,PDK2,Approved,Mitochondria;Nucleoplasm,,,,Mitochondria,,Nucleoplasm,Nucleoplasm,,,mitochondria;nucleoplasm,43_C4_1,43_C4_1;43_C4_2,True
ENSG00000005882,HPA008287,U-251 MG,nucleoplasm;cytosol,0;16,PDK2,Approved,Mitochondria;Nucleoplasm,,,,Mitochondria,,Nucleoplasm,Nucleoplasm,,,mitochondria;nucleoplasm,43_C4_2,43_C4_1;43_C4_2,True
ENSG00000005884,CAB018594,U-251 MG,vesicles;plasma membrane,13;17,ITGA3,Supported,Plasma membrane,,,,Plasma membrane,,,Vesicles;Plasma membrane,,,plasma membrane,203_G7_1,203_G7_1;203_G7_2,True
ENSG00000005884,CAB018594,U-251 MG,vesicles;plasma membrane,13;17,ITGA3,Supported,Plasma membrane,,,,Plasma membrane,,,Vesicles;Plasma membrane,,,plasma membrane,203_G7_2,203_G7_1;203_G7_2,True
ENSG00000005889,HPA071863,U-2 OS,nucleoplasm;nucleoli,0;2,ZFX,Approved,Nucleoplasm,Nucleoli,,,,Nucleoli;Nucleoplasm,,Nucleoli,,,nucleoli;nucleoplasm,1496_A11_2,1496_A11_2;1496_A11_6,True
ENSG00000005889,HPA071863,U-2 OS,nucleoplasm;nucleoli,0;2,ZFX,Approved,Nucleoplasm,Nucleoli,,,,Nucleoli;Nucleoplasm,,Nucleoli,,,nucleoli;nucleoplasm,1496_A11_6,1496_A11_2;1496_A11_6,True
ENSG00000006071,HPA042318,A-431,nucleoli;cytosol,2;16,ABCC8,Approved,Nucleoli,Cytosol;Golgi apparatus,,,,Cytosol;Golgi apparatus;Nucleoli,,Nucleoli,,,cytosol;golgi apparatus;nucleoli,488_B4_2,488_B4_2;488_B4_3,True
ENSG00000006071,HPA042318,A-431,nucleoli;cytosol,2;16,ABCC8,Approved,Nucleoli,Cytosol;Golgi apparatus,,,,Cytosol;Golgi apparatus;Nucleoli,,Nucleoli,,,cytosol;golgi apparatus;nucleoli,488_B4_3,488_B4_2;488_B4_3,True
ENSG00000006194,HPA035086,U-2 OS,cytosol,16,ZNF263,Supported,Cytosol,Mitotic spindle;Nucleoplasm,,,Cytosol,Mitotic spindle;Nucleoplasm,,Cytosol,,Mitotic spindle (biological definition),cytosol;mitotic spindle;nucleoplasm,376_E8_1,376_E8_1;376_E8_2,True
ENSG00000006194,HPA035086,U-2 OS,cytosol,16,ZNF263,Supported,Cytosol,Mitotic spindle;Nucleoplasm,,,Cytosol,Mitotic spindle;Nucleoplasm,,Cytosol,,Mitotic spindle (biological definition),cytosol;mitotic spindle;nucleoplasm,376_E8_2,376_E8_1;376_E8_2,True
ENSG00000006194,HPA035086,U-251 MG,mitotic spindle;cytosol,11;16,ZNF263,Supported,Cytosol,Mitotic spindle;Nucleoplasm,,,Cytosol,Mitotic spindle;Nucleoplasm,,Mitotic spindle;Cytosol,,Mitotic spindle (biological definition),cytosol;mitotic spindle;nucleoplasm,383_E8_4,383_E8_4;383_E8_7,True
ENSG00000006194,HPA035086,U-251 MG,mitotic spindle;cytosol,11;16,ZNF263,Supported,Cytosol,Mitotic spindle;Nucleoplasm,,,Cytosol,Mitotic spindle;Nucleoplasm,,Mitotic spindle;Cytosol,,Mitotic spindle (biological definition),cytosol;mitotic spindle;nucleoplasm,383_E8_7,383_E8_4;383_E8_7,True
ENSG00000006459,HPA012114,U-251 MG,nucleoplasm;nucleoli,0;2,KDM7A,Approved,Nucleoplasm,Nucleoli,,,,Nucleoli;Nucleoplasm,,Nucleoli,,,nucleoli;nucleoplasm,94_G10_1,94_G10_1;94_G10_2,True
ENSG00000006459,HPA012114,U-251 MG,nucleoplasm;nucleoli,0;2,KDM7A,Approved,Nucleoplasm,Nucleoli,,,,Nucleoli;Nucleoplasm,,Nucleoli,,,nucleoli;nucleoplasm,94_G10_2,94_G10_1;94_G10_2,True
ENSG00000006468,HPA077249,PC-3,nucleoplasm,0,ETV1,Approved,Nucleoplasm,,,,,Nucleoplasm,,Nucleoplasm,,,nucleoplasm,1623_B11_4,1623_B11_4;1623_B11_5,True
ENSG00000006468,HPA077249,PC-3,nucleoplasm,0,ETV1,Approved,Nucleoplasm,,,,,Nucleoplasm,,Nucleoplasm,,,nucleoplasm,1623_B11_5,1623_B11_4;1623_B11_5,True
ENSG00000006634,HPA042923,SH-SY5Y,nucleoplasm;nuclear bodies,0;5,DBF4,Supported,Nuclear bodies;Nucleoplasm,,,,Nuclear bodies;Nucleoplasm,,,,Nucleoplasm;Nuclear bodies,,nucleoplasm,1711_C1_3,1711_C1_3;1711_C1_4,True
ENSG00000006634,HPA042923,SH-SY5Y,nucleoplasm;nuclear bodies,0;5,DBF4,Supported,Nuclear bodies;Nucleoplasm,,,,Nuclear bodies;Nucleoplasm,,,,Nucleoplasm;Nuclear bodies,,nucleoplasm,1711_C1_4,1711_C1_3;1711_C1_4,True
ENSG00000006634,HPA042923,RH-30,nucleoplasm;nuclear bodies,0;5,DBF4,Supported,Nuclear bodies;Nucleoplasm,,,,Nuclear bodies;Nucleoplasm,,,,Nucleoplasm;Nuclear bodies,,nucleoplasm,1767_D2_10,1767_D2_10_cr594ba0be0e8e0;1767_D2_17_cr594ba0be0e9f7,True
ENSG00000006634,HPA042923,RH-30,nucleoplasm;nuclear bodies,0;5,DBF4,Supported,Nuclear bodies;Nucleoplasm,,,,Nuclear bodies;Nucleoplasm,,,,Nucleoplasm;Nuclear bodies,,nucleoplasm,1767_D2_17,1767_D2_10_cr594ba0be0e8e0;1767_D2_17_cr594ba0be0e9f7,True
ENSG00000006652,HPA024122,U-2 OS,plasma membrane;cytosol,13;16,IFRD1,Approved,Cytosol;Plasma membrane,,,,,Cytosol;Plasma membrane,,Plasma membrane;Cytosol,,,cytosol;plasma membrane,197_C4_1,197_C4_1;197_C4_2,True
ENSG00000006652,HPA024122,U-2 OS,plasma membrane;cytosol,13;16,IFRD1,Approved,Cytosol;Plasma membrane,,,,,Cytosol;Plasma membrane,,Plasma membrane;Cytosol,,,cytosol;plasma membrane,197_C4_2,197_C4_1;197_C4_2,True
ENSG00000006704,HPA044254,U-2 OS,nucleoplasm;cytosol,0;16,GTF2IRD1,Supported,Nucleoplasm,Cytosol,,,Nucleoplasm,Cytosol,,Nucleoplasm,,,cytosol;nucleoplasm,528_H5_1,528_H5_1;528_H5_2,True
ENSG00000006704,HPA044254,U-2 OS,nucleoplasm;cytosol,0;16,GTF2IRD1,Supported,Nucleoplasm,Cytosol,,,Nucleoplasm,Cytosol,,Nucleoplasm,,,cytosol;nucleoplasm,528_H5_2,528_H5_1;528_H5_2,True
ENSG00000006747,HPA020518,HEK 293,plasma membrane,13,SCIN,Enhanced,Plasma membrane,,,Plasma membrane,,,,Plasma membrane,,,plasma membrane,1124_E10_1,1124_E10_1;1124_E10_2,True
ENSG00000006747,HPA020518,HEK 293,plasma membrane,13,SCIN,Enhanced,Plasma membrane,,,Plasma membrane,,,,Plasma membrane,,,plasma membrane,1124_E10_2,1124_E10_1;1124_E10_2,True
ENSG00000007202,HPA042781,U-2 OS,nuclear speckles,4,KIAA0100,Approved,Cytosol;Nuclear speckles,,Predicted to be secreted,,,Cytosol;Nuclear speckles,,Nuclear speckles,,,cytosol;nuclear speckles,470_B6_1,470_B6_1;470_B6_2,True
ENSG00000007202,HPA042781,U-2 OS,nuclear speckles,4,KIAA0100,Approved,Cytosol;Nuclear speckles,,Predicted to be secreted,,,Cytosol;Nuclear speckles,,Nuclear speckles,,,cytosol;nuclear speckles,470_B6_2,470_B6_1;470_B6_2,True
ENSG00000007202,HPA042781,A-431,nuclear speckles;cytosol,4;16,KIAA0100,Approved,Cytosol;Nuclear speckles,,Predicted to be secreted,,,Cytosol;Nuclear speckles,,Nuclear speckles,,,cytosol;nuclear speckles,473_B6_1,473_B6_1;473_B6_2,True
ENSG00000007202,HPA042781,A-431,nuclear speckles;cytosol,4;16,KIAA0100,Approved,Cytosol;Nuclear speckles,,Predicted to be secreted,,,Cytosol;Nuclear speckles,,Nuclear speckles,,,cytosol;nuclear speckles,473_B6_2,473_B6_1;473_B6_2,True
ENSG00000007237,HPA064678,SK-MEL-30,plasma membrane;actin filaments,9;13,GAS7,Approved,Plasma membrane,Actin filaments;Focal adhesion sites,,,,Actin filaments;Focal adhesion sites;Plasma membrane,,Plasma membrane;Actin filaments,,,cytoskeleton;plasma membrane,1262_C11_1,1262_C11_1;1262_C11_2,True
ENSG00000007237,HPA064678,SK-MEL-30,plasma membrane;actin filaments,9;13,GAS7,Approved,Plasma membrane,Actin filaments;Focal adhesion sites,,,,Actin filaments;Focal adhesion sites;Plasma membrane,,Plasma membrane;Actin filaments,,,cytoskeleton;plasma membrane,1262_C11_2,1262_C11_1;1262_C11_2,True
ENSG00000007402,HPA071829,SH-SY5Y,vesicles,17,CACNA2D2,Approved,Vesicles,,,,,Vesicles,,Vesicles,,,vesicles,1696_D1_3,1696_D1_3;1696_D1_6,True
ENSG00000007402,HPA071829,SH-SY5Y,vesicles,17,CACNA2D2,Approved,Vesicles,,,,,Vesicles,,Vesicles,,,vesicles,1696_D1_6,1696_D1_3;1696_D1_6,True
ENSG00000007545,HPA041752,U-2 OS,nucleoplasm;nucleoli;cytosol,0;2;16,CRAMP1,Approved,Nucleoplasm,Cytosol;Nucleoli,,,,Cytosol;Nucleoli;Nucleoplasm,,Nucleoplasm,,,cytosol;nucleoli;nucleoplasm,492_E11_1,492_E11_1;492_E11_2,True
ENSG00000007545,HPA041752,U-2 OS,nucleoplasm;nucleoli;cytosol,0;2;16,CRAMP1,Approved,Nucleoplasm,Cytosol;Nucleoli,,,,Cytosol;Nucleoli;Nucleoplasm,,Nucleoplasm,,,cytosol;nucleoli;nucleoplasm,492_E11_2,492_E11_1;492_E11_2,True
ENSG00000007545,HPA041752,U-251 MG,nucleoplasm;nucleoli;cytosol,0;2;16,CRAMP1,Approved,Nucleoplasm,Cytosol;Nucleoli,,,,Cytosol;Nucleoli;Nucleoplasm,,Nucleoplasm,,,cytosol;nucleoli;nucleoplasm,484_E11_1,484_E11_1;484_E11_3,True
ENSG00000007545,HPA041752,U-251 MG,nucleoplasm;nucleoli;cytosol,0;2;16,CRAMP1,Approved,Nucleoplasm,Cytosol;Nucleoli,,,,Cytosol;Nucleoli;Nucleoplasm,,Nucleoplasm,,,cytosol;nucleoli;nucleoplasm,484_E11_3,484_E11_1;484_E11_3,True
ENSG00000008086,CAB011577,U-2 OS,nucleoplasm,0,CDKL5,Supported,Nucleoplasm,,,,Nucleoplasm,,,Nucleoplasm,,,nucleoplasm,613_E1_1,613_E1_1;613_E1_2,True
ENSG00000008086,CAB011577,U-2 OS,nucleoplasm,0,CDKL5,Supported,Nucleoplasm,,,,Nucleoplasm,,,Nucleoplasm,,,nucleoplasm,613_E1_2,613_E1_1;613_E1_2,True
ENSG00000008086,CAB011577,A-431,nucleoplasm,0,CDKL5,Supported,Nucleoplasm,,,,Nucleoplasm,,,Nucleoplasm,,,nucleoplasm,617_E1_1,617_E1_1;617_E1_2,True
ENSG00000008086,CAB011577,A-431,nucleoplasm,0,CDKL5,Supported,Nucleoplasm,,,,Nucleoplasm,,,Nucleoplasm,,,nucleoplasm,617_E1_2,617_E1_1;617_E1_2,True
ENSG00000008086,CAB011577,U-251 MG,nucleoplasm,0,CDKL5,Supported,Nucleoplasm,,,,Nucleoplasm,,,Nucleoplasm,,,nucleoplasm,610_E1_2,610_E1_2;610_E1_3,True
ENSG00000008086,CAB011577,U-251 MG,nucleoplasm,0,CDKL5,Supported,Nucleoplasm,,,,Nucleoplasm,,,Nucleoplasm,,,nucleoplasm,610_E1_3,610_E1_2;610_E1_3,True
ENSG00000008130,HPA053368,HeLa,nucleoplasm;vesicles,0;17,NADK,Approved,Nucleoplasm,Vesicles,,,,Nucleoplasm;Vesicles,,Nucleoplasm,,,nucleoplasm;vesicles,869_D5_1,869_D5_1;869_D5_2,True
ENSG00000008130,HPA053368,HeLa,nucleoplasm;vesicles,0;17,NADK,Approved,Nucleoplasm,Vesicles,,,,Nucleoplasm;Vesicles,,Nucleoplasm,,,nucleoplasm;vesicles,869_D5_2,869_D5_1;869_D5_2,True
ENSG00000008311,HPA020728,A-431,vesicles;mitochondria,14;17,AASS,Enhanced,Mitochondria,Vesicles,,Mitochondria;Vesicles,,,,Mitochondria,,,mitochondria;vesicles,222_G9_1,222_G9_1;222_G9_2,True
ENSG00000008311,HPA020728,A-431,vesicles;mitochondria,14;17,AASS,Enhanced,Mitochondria,Vesicles,,Mitochondria;Vesicles,,,,Mitochondria,,,mitochondria;vesicles,222_G9_2,222_G9_1;222_G9_2,True
ENSG00000008311,HPA020734,U-2 OS,vesicles;mitochondria,14;17,AASS,Enhanced,Mitochondria,Vesicles,,Mitochondria;Vesicles,,,,Vesicles;Mitochondria,,,mitochondria;vesicles,191_A12_1,191_A12_1;191_A12_2,True
ENSG00000008311,HPA020734,U-2 OS,vesicles;mitochondria,14;17,AASS,Enhanced,Mitochondria,Vesicles,,Mitochondria;Vesicles,,,,Vesicles;Mitochondria,,,mitochondria;vesicles,191_A12_2,191_A12_1;191_A12_2,True
ENSG00000008324,HPA047377,U-2 OS,nucleoplasm;nucleoli;mitochondria,0;2;14,SS18L2,Approved,Mitochondria;Nucleoli,Nucleoplasm,,,,Mitochondria;Nucleoli;Nucleoplasm,,Mitochondria,,,mitochondria;nucleoli;nucleoplasm,719_C8_2,719_C8_2;719_C8_3,True
ENSG00000008324,HPA047377,U-2 OS,nucleoplasm;nucleoli;mitochondria,0;2;14,SS18L2,Approved,Mitochondria;Nucleoli,Nucleoplasm,,,,Mitochondria;Nucleoli;Nucleoplasm,,Mitochondria,,,mitochondria;nucleoli;nucleoplasm,719_C8_3,719_C8_2;719_C8_3,True
ENSG00000008394,HPA044840,A-431,mitochondria,14,MGST1,Approved,Mitochondria,Endoplasmic reticulum,,,,Endoplasmic reticulum;Mitochondria,,Mitochondria,,,endoplasmic reticulum;mitochondria,559_C9_1,559_C9_1;559_C9_2,True
ENSG00000008394,HPA044840,A-431,mitochondria,14,MGST1,Approved,Mitochondria,Endoplasmic reticulum,,,,Endoplasmic reticulum;Mitochondria,,Mitochondria,,,endoplasmic reticulum;mitochondria,559_C9_2,559_C9_1;559_C9_2,True
ENSG00000008394,HPA044840,U-251 MG,endoplasmic reticulum;mitochondria,6;14,MGST1,Approved,Mitochondria,Endoplasmic reticulum,,,,Endoplasmic reticulum;Mitochondria,,Mitochondria,,,endoplasmic reticulum;mitochondria,567_C9_1,567_C9_1;567_C9_2,True
ENSG00000008394,HPA044840,U-251 MG,endoplasmic reticulum;mitochondria,6;14,MGST1,Approved,Mitochondria,Endoplasmic reticulum,,,,Endoplasmic reticulum;Mitochondria,,Mitochondria,,,endoplasmic reticulum;mitochondria,567_C9_2,567_C9_1;567_C9_2,True
ENSG00000008853,HPA060938,U-2 OS,plasma membrane,13,RHOBTB2,Approved,Plasma membrane,,,,,Plasma membrane,,Plasma membrane,,,plasma membrane,1256_D7_3,1256_D7_3;1256_D7_5,True
ENSG00000008853,HPA060938,U-2 OS,plasma membrane,13,RHOBTB2,Approved,Plasma membrane,,,,,Plasma membrane,,Plasma membrane,,,plasma membrane,1256_D7_5,1256_D7_3;1256_D7_5,True
ENSG00000009335,HPA039915,U-2 OS,mitochondria,14,UBE3C,Approved,Mitochondria;Nucleoplasm,Plasma membrane,,,,Mitochondria;Nucleoplasm;Plasma membrane,,Mitochondria,,,mitochondria;nucleoplasm;plasma membrane,412_D11_1,412_D11_1;412_D11_3,True
ENSG00000009335,HPA039915,U-2 OS,mitochondria,14,UBE3C,Approved,Mitochondria;Nucleoplasm,Plasma membrane,,,,Mitochondria;Nucleoplasm;Plasma membrane,,Mitochondria,,,mitochondria;nucleoplasm;plasma membrane,412_D11_3,412_D11_1;412_D11_3,True
ENSG00000009335,HPA039915,A-431,nucleoplasm;mitochondria,0;14,UBE3C,Approved,Mitochondria;Nucleoplasm,Plasma membrane,,,,Mitochondria;Nucleoplasm;Plasma membrane,,Mitochondria,,,mitochondria;nucleoplasm;plasma membrane,471_D11_1,471_D11_1;471_D11_3,True
ENSG00000009335,HPA039915,A-431,nucleoplasm;mitochondria,0;14,UBE3C,Approved,Mitochondria;Nucleoplasm,Plasma membrane,,,,Mitochondria;Nucleoplasm;Plasma membrane,,Mitochondria,,,mitochondria;nucleoplasm;plasma membrane,471_D11_3,471_D11_1;471_D11_3,True
ENSG00000009780,HPA077897,HaCaT,nucleoplasm;cytokinetic bridge;cytosol,0;16,FAM76A,Approved,Cytosol;Nucleoplasm,,,,,Cytosol;Nucleoplasm,,Cytokinetic bridge,Nucleoplasm;Cytosol,,cytosol;nucleoplasm,1707_H9_13,1707_H9_13_cr57eaac177a32f;1707_H9_18_cr57eaac1ee46b5,True
